batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
8,8192,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.05307755489349365,attn
8,256,2048,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.0003860671997070312,attn
64,16384,16384,32,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,4096,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.2719875686645508,attn
64,8192,8192,8,4,h100,114,57,8,14592,456,80,50,2000,0,0.9453039123535156,attn
64,8192,16384,32,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,8192,4096,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.573892236328125,attn
64,4096,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.12177551116943357,attn
16,16384,4096,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.6298250732421875,attn
32,4096,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.14503153228759766,attn
64,8192,4096,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.5668429809570312,attn
128,1024,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.2747313278198242,attn
64,16384,4096,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.6259108215332032,attn
32,4096,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.059776809310913094,attn
128,16384,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,2048,16,1,h100,114,57,8,14592,456,80,50,2000,0,0.5137321502685547,attn
8,8192,16384,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.22170153732299808,attn
4,8192,4096,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.04562197742462158,attn
64,8192,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.33895153045654297,attn
128,2048,4096,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.0688669620513916,attn
32,16384,16384,128,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,2048,8192,128,2,h100,114,57,8,14592,456,80,50,2000,0,0.21360557708740235,attn
128,16384,8192,16,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,4096,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.3542029586791992,attn
32,8192,2048,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.08464051818847657,attn
16,4096,16384,16,8,h100,114,57,8,14592,456,80,50,2000,0,0.0881523735046387,attn
64,16384,1024,128,4,h100,114,57,8,14592,456,80,50,2000,0,1.8812962890625002,attn
128,8192,8192,32,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.6764252532958984,attn
32,4096,4096,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.056943423843383786,attn
128,8192,16384,64,1,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,1024,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.08893499946594238,attn
16,16384,8192,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.3098140686035156,attn
16,4096,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.040771447753906245,attn
64,16384,8192,16,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,8192,2048,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.5455783020019531,attn
32,8192,16384,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.5189524642944335,attn
64,4096,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.12210078315734865,attn
128,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,512,16384,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.13376294136047365,attn
16,16384,2048,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.24294791107177738,attn
