batch,seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
32,16384,4096,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.0512070219039917,mlp
128,2048,8192,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.23194447631835935,mlp
64,8192,8192,64,2,h100,114,57,8,14592,456,80,50,2000,0,1.0302278930664062,mlp
32,8192,16384,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.48134475860595716,mlp
32,16384,8192,16,1,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,4096,16384,128,4,h100,114,57,8,14592,456,80,50,2000,0,1.0290350769042969,mlp
128,8192,4096,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.10637350311279296,mlp
32,4096,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.10598466644287108,mlp
8,8192,16384,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.48437450714111324,mlp
128,8192,4096,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.1055837230682373,mlp
64,16384,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,1024,2048,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.006724324798583985,mlp
64,8192,4096,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.05237591686248779,mlp
64,8192,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
128,16384,1024,16,2,h100,114,57,8,14592,456,80,50,2000,0,0.06598618183135985,mlp
8,512,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.002636604821681976,mlp
32,16384,16384,128,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
128,4096,8192,32,1,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,8192,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
32,4096,4096,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.01245534873008728,mlp
32,16384,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.4674831619262695,mlp
64,1024,4096,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.005726084780693055,mlp
128,8192,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
16,8192,8192,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.2265128028869629,mlp
16,8192,2048,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.013133208036422733,mlp
128,4096,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.45969112091064457,mlp
64,16384,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,2048,16384,8,4,h100,114,57,8,14592,456,80,50,2000,0,0.5070095260620117,mlp
64,16384,4096,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.10548341712951662,mlp
64,2048,8192,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.22952149124145507,mlp
128,8192,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
16,4096,16384,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.10765966224670409,mlp
16,8192,8192,16,8,h100,114,57,8,14592,456,80,50,2000,0,0.05041481094360352,mlp
128,8192,2048,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.05539758033752441,mlp
64,16384,16384,64,1,h100,114,57,8,14592,456,80,50,2000,0,,mlp
32,2048,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.050675116920471185,mlp
32,8192,16384,128,2,h100,114,57,8,14592,456,80,50,2000,0,2.102507916259766,mlp
64,4096,4096,8,4,h100,114,57,8,14592,456,80,50,2000,0,0.04893850059509277,mlp
128,16384,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,,mlp
32,4096,2048,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.013241912031173707,mlp
2,16384,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.024091363143920897,mlp
128,1024,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.21692141189575195,mlp
64,8192,4096,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.09942320938110351,mlp
64,8192,8192,128,2,h100,114,57,8,14592,456,80,50,2000,0,1.1153540954589845,mlp
64,16384,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,4096,16384,128,1,h100,114,57,8,14592,456,80,50,2000,0,,mlp
128,8192,4096,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.195468212890625,mlp
2,4096,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.002702268803119659,mlp
32,8192,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.48163901214599625,mlp
128,8192,4096,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.19762484893798832,mlp
64,16384,8192,128,2,h100,114,57,8,14592,456,80,50,2000,0,,mlp
32,2048,2048,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.0032029344081878665,mlp
32,8192,8192,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.45808513946533197,mlp
64,4096,2048,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.013489575958251954,mlp
128,16384,16384,8,8,h100,114,57,8,14592,456,80,50,2000,0,,mlp
16,4096,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.011814596796035765,mlp
16,16384,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.04979439544677735,mlp
128,512,8192,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.024105200195312496,mlp
64,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.45849626312255853,mlp
64,8192,16384,64,2,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,8192,2048,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.014334660768508912,mlp
64,8192,8192,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.4569622283935547,mlp
128,16384,8192,64,1,h100,114,57,8,14592,456,80,50,2000,0,,mlp
16,1024,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.04997320327758789,mlp
16,16384,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.10175151252746581,mlp
128,4096,2048,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.05240926265716552,mlp
64,8192,16384,32,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
32,4096,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.051360083007812495,mlp
32,16384,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,2048,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.052094723129272456,mlp
128,8192,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
32,8192,4096,32,1,h100,114,57,8,14592,456,80,50,2000,0,0.22341545104980468,mlp
8,8192,4096,16,2,h100,114,57,8,14592,456,80,50,2000,0,0.02451006088256836,mlp
128,4096,16384,128,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,16384,1024,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.008519177579879762,mlp
