batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
16,2048,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.034149580574035644,attn
64,16384,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.7926561767578126,attn
128,8192,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,8192,2048,16,2,a100,108,54,7,6912,432,40,40,1555,0,0.1656360450744629,attn
64,4096,8192,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.7376588256835939,attn
128,8192,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,1.1519067016601565,attn
64,1024,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.022037606525421145,attn
1,16384,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.10892144584655761,attn
16,8192,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.1863173637390137,attn
64,8192,16384,32,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,4096,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.4233749023437496,attn
64,16384,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,2048,16384,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.14164976654052736,attn
128,16384,1024,64,1,a100,108,54,7,6912,432,40,40,1555,0,9.743033935546874,attn
64,8192,8192,8,4,a100,108,54,7,6912,432,40,40,1555,0,1.184913610839844,attn
32,8192,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.548479995727539,attn
32,1024,2048,64,1,a100,108,54,7,6912,432,40,40,1555,0,0.02105164823532104,attn
64,16384,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,4096,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.42946503601074226,attn
32,8192,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.5020456451416015,attn
64,8192,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,8192,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.4721060302734377,attn
64,4096,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.17391861724853516,attn
16,16384,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.4118136352539061,attn
4,4096,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.01200035834312439,attn
64,8192,8192,8,1,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,512,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.19783388290405274,attn
64,16384,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,1.2096735778808594,attn
32,2048,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.06915205078124999,attn
128,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,2048,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.41919841156005855,attn
16,8192,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.3108407302856445,attn
32,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.45243642425537106,attn
64,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.9061216766357422,attn
128,4096,4096,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.1353185272216797,attn
32,16384,16384,128,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,1024,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.1272979969024658,attn
128,16384,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,4096,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.5242647064208985,attn
8,8192,1024,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.03954877433776856,attn
16,4096,16384,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.26232022857666015,attn
64,16384,2048,128,4,a100,108,54,7,6912,432,40,40,1555,0,2.4621683471679687,attn
128,8192,8192,64,1,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.23415080871582034,attn
32,4096,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.03784668216705323,attn
128,16384,16384,32,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,2048,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.29368350677490235,attn
32,16384,8192,16,4,a100,108,54,7,6912,432,40,40,1555,0,1.9683954162597659,attn
32,4096,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.10123970603942871,attn
64,16384,16384,32,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,8192,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.9240414733886719,attn
32,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,1.3570023986816404,attn
64,4096,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.17614848022460938,attn
128,8192,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.9234174468994139,attn
64,1024,16384,16,2,a100,108,54,7,6912,432,40,40,1555,0,0.4308928039550781,attn
8,16384,2048,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.15463828430175783,attn
8,8192,16384,64,1,a100,108,54,7,6912,432,40,40,1555,0,1.380462579345703,attn
64,8192,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.17548329086303713,attn
128,2048,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.29705794830322263,attn
64,16384,4096,16,4,a100,108,54,7,6912,432,40,40,1555,0,1.5247550476074216,attn
32,512,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.004836044788360596,attn
128,16384,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,4096,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.17407662048339845,attn
16,8192,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.44859914703369136,attn
16,4096,1024,8,4,a100,108,54,7,6912,432,40,40,1555,0,0.0063578624248504636,attn
64,8192,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,1024,8192,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.24620625839233398,attn
32,16384,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.7098638336181641,attn
64,4096,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.5259657287597655,attn
128,16384,4096,64,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.0954318908691407,attn
