batch,seq_length,n_embed,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.04333050880432129,rms_norm
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.02096266231536865,rms_norm
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
8,512,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0007299071997404098,rms_norm
16,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.0423795711517334,rms_norm
128,1024,2048,a100,108,54,7,6912,432,40,40,1555,0,0.005279078340530396,rms_norm
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.043334451484680174,rms_norm
32,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.04205685787200928,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
