batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel,seq_length
128,8192,4096,128,2,a100,108,54,7,6912,432,40,40,1555,0,2.94507060546875,attn,NA
64,4096,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.7017458129882812,attn,NA
32,16384,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.7075507690429689,attn,NA
32,4096,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.1257901245117188,attn,NA
64,8192,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.23449687042236328,attn,NA
128,2048,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.2813606948852539,attn,NA
32,16384,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.7555446411132811,attn,NA
64,4096,2048,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.16993310623168947,attn,NA
128,16384,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,8192,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.23391718292236333,attn,NA
8,8192,8192,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.2513349632263183,attn,NA
8,256,4096,16,8,a100,108,54,7,6912,432,40,40,1555,0,5.0805760622024e-4,attn,NA
64,16384,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,4096,2048,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.1288838645935058,attn,NA
64,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,1.3599102416992188,attn,NA
128,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,2048,16384,128,1,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
16,16384,4096,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.15427082061767575,attn,NA
16,2048,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.03414958057403564,attn,NA
64,16384,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.7926561767578126,attn,NA
128,8192,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,8192,2048,16,2,a100,108,54,7,6912,432,40,40,1555,0,0.1656360450744629,attn,NA
64,4096,8192,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.7376588256835939,attn,NA
128,8192,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,1.1519067016601563,attn,NA
64,1024,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.02203760652542114,attn,NA
1,16384,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.1089214458465576,attn,NA
16,8192,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.1863173637390137,attn,NA
64,8192,16384,32,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,4096,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.4233749023437496,attn,NA
64,16384,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,2048,16384,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.14164976654052736,attn,NA
128,16384,1024,64,1,a100,108,54,7,6912,432,40,40,1555,0,9.743033935546874,attn,NA
64,8192,8192,8,4,a100,108,54,7,6912,432,40,40,1555,0,1.184913610839844,attn,NA
32,8192,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.548479995727539,attn,NA
32,1024,2048,64,1,a100,108,54,7,6912,432,40,40,1555,0,0.02105164823532104,attn,NA
64,16384,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,4096,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.42946503601074226,attn,NA
32,8192,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.5020456451416015,attn,NA
64,8192,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,8192,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.4721060302734377,attn,NA
